id;neve;energia;szenh;ara;kategoria
1;Almaleves;130;9;550;L
2;Fehérboros gombakrémleves;120;4;550;L
3;Fokhagymakrémleves;360;8;550;L
4;Gyümölcsleves;120;14;550;L
5;Málnakrémleves;90;6;550;L
6;Paradicsomleves;310;9;600;L
7;Póréhagyma krémleves;360;8;550;L
8;Szederkrémleves;110;5;550;L
9;Szilvaleves;110;12;550;L
10;Tárkonyos csirkeraguleves;290;9;600;L
11;Kapros tökfőzelék vagdalttal;440;23;880;F
12;Parajfőzelék vagdalttal;520;7;920;F
13;Rántott csirkemell meggymártással;490;13;1040;F
14;Sóskafőzelék tükörtojással;290;6;840;F
15;Zöldbabfőzelék rántott csirkemellel;670;22;970;F
16;Zöldborsófőzelék töltött csirkemellel;720;24;920;F
17;Cordon Bleu csirkemell spárgapürével;700;12;1210;F
18;Csirkepaprikás galuskával;520;8;1210;F
19;Fehérboros csirkemell paradicsomsalátával;410;10;1210;F
20;Gombás-tejszínes pulykamellszelet galuskával;470;17;970;F
21;Joghurtos csirkecomb galuskával;600;9;1040;F
22;Májjal töltött rántott pulykamell salátával;490;12;1090;F
23;Mézes-mustáros csirkecomb párolt karfiollal;510;13;970;F
24;Pirított pulykamell sopszka salátával;350;9;1210;F
25;Pulykaragu pitában zöldsalátával és joghurtos önte;380;7;980;F
26;Rántott csirkemell franciasalátával;570;18;1160;F
27;Rántott csirkemell grillezett zöldségekkel;450;15;1090;F
28;Rántott sajt salátával;570;13;1040;F
29;Sült csirkecomb tejszínes gombamártással;590;5;970;F
30;Sült csirkemell tojásos zöldsalátával;440;5;1080;F
31;Sült csirkemellcsíkok almás salátával;470;14;1080;F
32;Sült pulykacomb mozzarellás sült zöldségekkel;550;18;1160;F
33;Vadas pulykatokány spagettivel;500;12;1040;F
34;Vajban sült csirkemell paradicsomos gombasalátával;310;9;1210;F
35;Csőben sült brokkoli sajttal;340;10;1210;F
36;Rakott karalábé (pulykacombból);500;25;1040;F
37;Rakott sajtos patisszon;590;25;1000;F
38;Rántott cukkini almás sajtsalátával;560;30;1000;F
39;Székelykáposzta (pulykacombból);390;15;1210;F
40;Tojásos lecsó virslivel és galuskával;630;8;1000;F
41;Töltött padlizsán tejfölös zöldmártással;470;21;1000;F
42;Csirkés pizza;930;14;1470;F
43;Juhtúrós sztrapacska;790;8;1040;F
44;Milánói spagetti;470;14;1090;F
45;Mustáros szűzpecsenye spagettivel;470;12;1210;F
46;Négysajtos pizza;770;11;1210;F
47;Sajtos-sonkás pizza;780;10;1210;F
48;Almás-fahéjas palacsinta vaníliaöntettel;130;9;470;K
49;Barackos lepény;190;6;480;K
50;Császármorzsa;330;14;550;K
51;Cseresznyés pite;220;10;480;K
52;Máglyarakás;310;11;550;K
53;Meggyes piskóta;330;18;480;K
54;Somlói galuska;380;9;470;K
55;Szilvás lepény;340;20;480;K
56;Túrógombóc fahéjas öntettel;440;11;600;K
57;Túrós palacsinta eperöntettel;240;9;480;K
58;gulyás leves;380;9;470;L
59;Zabfalatok;12;12;12;K
